error.cart_product_not_available;{{replace}} al momento non disponibile e pertanto è stato rimosso dal carrello
error.cart_product_not_exists;{{replace}} Prodotto/i non esistono più e quindi è stato cancellato dal carrello
label.packing_list_title;###label.shipping_document### no. {NUM}
action.abort;Cancella
label.pages;Pagine
action.remove;Rimuovere
label.entry_removed;La voce è stata rimossa
action.use_coupon;Applica codice promo
shop.order_status_CA;annullato
shop.order_status_CL;completato
shop.order_status_CN;Nota di credito
action.logout;Esci
label.language;Lingua
simpleshop.account_area_account;Account
label.address;Indirizzo
label.pages;Pagine
action.add_address;Aggiungi indirizzo
action.close;chiudere
label.giftcard;Cartolina regalo
label.addresses;Indirizzi
label.free_shipping;Spedizione gratuita
label.no_address_available;Nessun indirizzo disponibile
label.email__generated_coupons_message;Il seguente buono può essere utilizzato con il prossimo ordine
label.address_additional;Informazione aggiuntiva
error.choose_shipping_address;Selezionare un indirizzo di spedizione
label.email__registration_optin_text;Lei si è registrato con ###company.name## e deve cliccare sul link sottostante per attivare il suo account:
label.reg_activation_already_done;Avete già attivato il vostro conto
label.reg_activation_failed;L'attivazione del conto non è riuscita
label.reg_activation_successful;L'attivazione ha avuto successo. Ora è possibile effettuare il login con i propri dati di accesso
label.no_permission;Non hai nessuna autorizzazione di accesso per quest'area
label.activation_link_sent;Un link di attivazione vi è stato inviato per e-mail. Controlla anche la tua cartella spam
label.login_success_overlay;Vi siete registrati con successo e ora potete continuare
label.all;tutti
label.province;Provincia
label.customer_type;Sono una...
error.token_already_used_for_transaction;Il pagamento è già stato effettuato in un'altra transazione
label.order_placed_but_pending;L'ordine è stato creato con successo ed è ancora in attesa del pagamento.
label.redirect_to_plugin_payment_page;Ora sarete indirizzati all'interfaccia di pagamento di {NAME}
action.create_new_shipping_address;Creare un nuovo indirizzo di consegna
label.applied;applicato
label.remarks_infos;Commenti / info
label.order_history_is_empty;Lo storico dei vostri ordini è ancora vuoto
action.login;Accedi
error.login_failed;Accesso non riuscito
action.add_to_wishlist;aggiungi ai preferiti
label.bank_transfer ;Bonifico bancario
action.edit;modificare
label.auth_data;Dati di accesso
label.description;Descrizione
label.order_date;Data dell'ordine
label.order_num;No. ordine
label.order;Ordine
label.saved;Salvato
label.order_placed;Ordine completo
label.email__order_complete;Ordine completo
simpleshop.account_area_orders;Ordini
label.credit_note_reference_info;Riferendosi alla fattura n
error.field.empty;Si prega di compilare il campo '{{fieldname}}'
error.insert_company_name;Inserire ragione sociale
error.insert_lastname;Inserire cognome
error.insert_firstname;Inserire nome
error.insert_email;Inserire indirizzo e-mail
error.insert_location;Inserire luogo
error.insert_postal;Inserire codice postale
error.insert_street;Inserire nome strada
error.email_not_valid;Inserire un indirizzo e-mail valido
